"id","sampleid","submited_datetime","datestart","dateend","notes","type","collection","location_id","loginname_id"
564,PAR_06062022,2022-06-10 13:53:17,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,3,6
579,PAR_09062022,2022-06-17 15:08:34,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,3,6
580,PAR_13062022,2022-06-17 15:09:10,2022-06-12,2022-06-13,Influent samples,rawWW,cpTP24h,3,6
593,PAR_16062022,2022-06-24 12:14:12,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,3,6
594,PAR_20062022,2022-06-24 12:14:47,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,3,6
607,PAR_23062022,2022-06-30 15:48:19,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,3,6
608,PAR_27062022,2022-06-30 15:48:58,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,3,6
622,PAR_30062022,2022-07-08 10:17:11,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,3,6
623,PAR_04072022,2022-07-08 10:18:34,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,3,6
565,AYI_02062022,2022-06-10 13:53:55,2022-06-01,2022-06-02,Influent samples,rawWW,cpTP24h,4,6
566,AYI_06062022,2022-06-10 13:54:26,2022-06-05,2022-06-06,Influent samples,rawWW,cpTP24h,4,6
581,AYI_09062022,2022-06-17 15:09:50,2022-06-08,2022-06-09,Influent samples,rawWW,cpTP24h,4,6
582,AYI_13062022,2022-06-17 15:10:25,2022-06-12,2022-06-13,Influent samples,rawWW,cpTP24h,4,6
595,AYI_16062022,2022-06-24 12:18:53,2022-06-15,2022-06-16,Influent samples,rawWW,cpTP24h,4,6
596,AYI_20062022,2022-06-24 12:19:45,2022-06-19,2022-06-20,Influent samples,rawWW,cpTP24h,4,6
609,AYI_23062022,2022-06-30 15:49:40,2022-06-22,2022-06-23,Influent samples,rawWW,cpTP24h,4,6
610,AYI_27062022,2022-06-30 15:50:19,2022-06-26,2022-06-27,Influent samples,rawWW,cpTP24h,4,6
624,AYI_30062022,2022-07-08 10:19:56,2022-06-29,2022-06-30,Influent Samples,rawWW,cpTP24h,4,6
625,AYI_04072022,2022-07-08 10:20:59,2022-07-03,2022-07-04,Influent Samples,rawWW,cpTP24h,4,6
632,AYI_07072022,2022-07-15 13:44:14,2022-07-06,2022-07-07,Influent Samples,rawWW,cpTP24h,4,6
633,AYI_11072022,2022-07-15 13:45:09,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,4,6
637,VAT_11072022,2022-07-15 14:05:46,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,7,2
638,PAF_07072022,2022-07-15 14:07:16,2022-07-06,2022-07-07,Influent Samples,rawWW,cpTP24h,2,2
639,PAF_11072022,2022-07-15 14:08:09,2022-07-10,2022-07-11,Influent Samples,rawWW,cpTP24h,2,2
642,LAR_14072022,2022-07-21 12:16:03,2022-07-13,2022-07-14,Influent samples,rawWW,cpTP24h,6,6
643,LAR_18072022,2022-07-21 12:16:53,2022-07-17,2022-07-18,Influent samples,rawWW,cpTP24h,6,6
644,ANT_14072022,2022-07-21 12:19:08,2022-07-13,2022-07-14,Influent samples,rawWW,cpTP24h,5,6
645,ANT_18072022,2022-07-21 12:19:40,2022-07-17,2022-07-18,Influent samples,rawWW,cpTP24h,5,6
646,VAT_14072022,2022-07-21 12:37:12,2022-07-13,2022-07-14,Influent samples,rawWW,cpTP24h,7,6
647,VAT_18072022,2022-07-21 12:37:56,2022-07-17,2022-07-18,Influent samples,rawWW,cpTP24h,7,6
648,PAF_14072022,2022-07-21 12:38:56,2022-07-13,2022-07-14,Influent samples,rawWW,cpTP24h,2,6
649,PAF_18072022,2022-07-21 12:39:45,2022-07-17,2022-07-18,Influent samples,rawWW,cpTP24h,2,6
654,LIM_21072022,2022-07-28 20:56:50,2022-07-20,2022-07-21,Influent samples,rawWW,cpTP24h,1,6
655,LIM_25072022,2022-07-28 20:57:20,2022-07-24,2022-07-25,Influent samples,rawWW,cpTP24h,1,6
656,LAR_21072022,2022-07-28 20:58:08,2022-07-20,2022-07-21,Influent samples,rawWW,cpTP24h,6,6
657,LAR_25072022,2022-07-28 20:58:45,2022-07-24,2022-07-25,Influent samples,rawWW,cpTP24h,6,6
658,ANT_25072022,2022-07-28 20:59:58,2022-07-24,2022-07-25,Influent samples,rawWW,cpTP24h,5,6
659,ANT_26072022,2022-07-28 21:00:28,2022-07-25,2022-07-26,Influent samples,rawWW,cpTP24h,5,6
