"id","sampleid","Lineage","comment","submited_datetime","datestart","dateend","VariantType_id","location_id","loginname_id"
147,LIM_01082022,BA.5,,2022-09-16 14:07:08,2022-07-31,2022-08-01,10,1,3
148,LIM_08082022,BA.5,,2022-09-16 14:07:24,2022-08-07,2022-08-08,10,1,3
149,PAF_01082022,BA.5,,2022-09-16 14:07:40,2022-07-31,2022-08-01,9,2,3
150,PAF_08082022,BA.5,,2022-09-16 14:07:55,2022-08-07,2022-08-08,9,2,3
151,PAR_04082022,BA.5.2.1,,2022-09-16 14:08:14,2022-08-03,2022-08-04,9,3,3
152,PAR_15082022,BA.5,,2022-09-16 14:08:32,2022-08-14,2022-08-15,9,3,3
153,AYI_08082022,BA.5,,2022-09-16 14:08:49,2022-08-07,2022-08-08,9,4,3
154,AYI_15082022,BA.5.1,,2022-09-16 14:09:02,2022-08-14,2022-08-15,9,4,3
155,ANT_01092022,BA.5.1,,2022-10-14 12:17:05,2022-08-31,2022-09-01,9,5,3
156,ANT_12092022,BA.5,,2022-10-14 12:17:27,2022-09-11,2022-09-12,10,5,3
157,VAT_08092022,BA.5,,2022-10-14 12:17:53,2022-09-07,2022-09-08,9,7,3
158,VAT_12092022,BA.5.2,,2022-10-14 12:18:24,2022-09-11,2022-09-12,10,7,3
159,LAR_08092022,undetermined,,2022-10-14 12:18:50,2022-09-07,2022-09-08,2,6,3
160,LAR_12092022,BA.5,,2022-10-14 12:19:09,2022-09-11,2022-09-12,9,6,3
161,LIM_08092022,BA.5.2,,2022-10-14 12:19:38,2022-09-07,2022-09-08,10,1,3
162,LIM_12092022,BA.5.2,,2022-10-14 12:19:54,2022-09-11,2022-09-12,10,1,3
163,PAF_08092022,undetermined,,2022-10-14 12:20:15,2022-09-07,2022-09-08,2,2,3
164,PAF_12092022,BA.5.2,,2022-10-14 12:20:37,2022-09-11,2022-09-12,9,2,3
165,PAR_05092022,BA.5,,2022-10-14 12:20:55,2022-09-04,2022-09-05,9,3,3
166,PAR_12092022,BA.5,,2022-10-14 12:21:14,2022-09-11,2022-09-12,10,3,3
167,AYI_01092022,BA.5.2.1,,2022-10-14 12:21:32,2022-08-31,2022-09-01,9,4,3
168,AYI_05092022,undetermined,,2022-10-14 12:21:52,2022-09-04,2022-09-05,2,4,3
